group,reference,name,stat,meanchange,pval,padj
D1003,rest,Goblet_cells,17.71772568858253,0.2058900842521403,3.06037424683307e-70,1.530187123416535e-69
D1003,rest,Tumor,6.524446096548585,0.08057131782724745,6.825329006609873e-11,1.1375548344349789e-10
D1003,rest,Fibroblasts,-2.8177362507011354,-0.005792962570818874,0.004836351981595639,0.004836351981595639
D1003,rest,Macrophages,5.867352722361021,-0.007929933567018977,4.42808028964004e-09,5.5351003620500505e-09
D1003,rest,Neutrophils,-15.045558367012578,-0.014965320227218267,3.692052243146449e-51,9.230130607866121e-51
D1009,rest,Fibroblasts,11.581138126903658,0.3457794348546475,5.1359605420638064e-31,1.2839901355159517e-30
D1009,rest,Macrophages,10.169842717776737,0.04183143564320674,2.7034484990128016e-24,4.5057474983546696e-24
D1009,rest,Neutrophils,11.670558188973292,0.02683085310666919,1.8023675673478208e-31,9.011837836739104e-31
D1009,rest,Goblet_cells,-7.798139307666739,-0.016959587070388787,6.282663280243531e-15,7.853329100304415e-15
D1009,rest,Tumor,-7.669749266711418,-0.05728980467007975,1.723328895820832e-14,1.723328895820832e-14
D1010,rest,Fibroblasts,19.745919842884664,0.2403534565845365,8.696678111413742e-87,4.348339055706871e-86
D1010,rest,Macrophages,-12.73580528164666,0.023629517191564146,3.739675027432825e-37,9.349187568582063e-37
D1010,rest,Goblet_cells,2.72647137857913,0.0023891458429599896,0.006401550421739988,0.006401550421739988
D1010,rest,Neutrophils,10.26834652833813,-0.0007411975234511374,9.786761405974652e-25,1.6311269009957755e-24
D1010,rest,Tumor,-3.895821874993915,-0.018927836577514234,9.786629640296291e-05,0.00012233287050370363
D1013,rest,Macrophages,13.893169284441207,0.02423435068144874,6.968247067886611e-44,1.161374511314435e-43
D1013,rest,Neutrophils,-3.0521044304830154,0.0239334899396075,0.0022724302645713915,0.0022724302645713915
D1013,rest,Fibroblasts,-8.225720853510309,-0.07658121944927923,1.9402040501018486e-16,2.4252550626273107e-16
D1013,rest,Tumor,-22.07838064701038,-0.08008842360616418,5.100368334815865e-108,1.2750920837039661e-107
D1013,rest,Goblet_cells,-35.23830761097838,-0.2353336174476552,5.1823302784386016e-272,2.591165139219301e-271
D1014,rest,Fibroblasts,2.9557128995827897,0.01783908679512138,0.0031194731906095613,0.005199121984349269
D1014,rest,Neutrophils,-9.118077777500948,-0.008422313914467216,7.646853097054801e-20,3.8234265485274004e-19
D1014,rest,Goblet_cells,8.973094997671865,-0.009519035396801448,2.8829725731827594e-19,7.207431432956898e-19
D1014,rest,Tumor,2.8246042127361966,-0.01223129252169273,0.0047339051159387795,0.005917381394923474
D1014,rest,Macrophages,0.543488501748995,-0.012615522688525274,0.5867935054884132,0.5867935054884132
D1015,rest,Fibroblasts,4.787554500759557,0.02885399573425579,1.6882589870835314e-06,4.220647467708829e-06
D1015,rest,Neutrophils,8.689631144645684,0.0015013544190080992,3.636181246793985e-18,1.8180906233969925e-17
D1015,rest,Goblet_cells,4.634671671969859,-0.0009302502810445146,3.5750444389601844e-06,5.958407398266974e-06
D1015,rest,Tumor,3.612656330697435,-0.007041212315353169,0.0003030762729868904,0.00037884534123361303
D1015,rest,Macrophages,-0.9711959358247162,-0.02005544819239133,0.3314507173462793,0.3314507173462793
D993,rest,Tumor,20.225278894851726,0.05875126938984552,5.865782053197371e-91,1.4664455132993427e-90
D993,rest,Goblet_cells,0.5976395246554586,-0.0028111835298598995,0.5500804854877339,0.5500804854877339
D993,rest,Neutrophils,5.657961288625576,-0.009053754618698234,1.531816738395988e-08,1.9147709229949848e-08
D993,rest,Macrophages,-18.549882099597358,-0.04127563144327505,8.173106671032344e-77,1.3621844451720574e-76
D993,rest,Fibroblasts,-27.90563781092065,-0.47974291960256,2.2792351757012777e-171,1.1396175878506388e-170
D999,rest,Macrophages,7.044089248098305,0.03888743384829951,1.8667846828754724e-12,4.666961707188681e-12
D999,rest,Neutrophils,7.549558482002986,0.03603583453349213,4.36736250363738e-14,2.18368125181869e-13
D999,rest,Tumor,1.5950127631042146,0.009926493611379011,0.11070938171947976,0.13838672714934971
D999,rest,Goblet_cells,4.657666006162038,0.00931728252695879,3.198145116281939e-06,5.330241860469898e-06
D999,rest,Fibroblasts,-0.8149636881033462,-0.05213504725347688,0.41509309559805563,0.41509309559805563
,rest,Tumor,,,1.0,1.0
,rest,Fibroblasts,,,1.0,1.0
,rest,Macrophages,,,1.0,1.0
,rest,Neutrophils,,,1.0,1.0
,rest,Goblet_cells,,,1.0,1.0
